id,nome
26,"ACRELÂNDIA"
362,"ASSIS BRASIL"
669,"BRASILÉIA"
712,BUJARI
965,CAPIXABA
1352,"CRUZEIRO DO SUL"
1556,"EPITACIOLÂNDIA"
1628,"FEIJÓ"
2437,"JORDÃO"
2726,"MANOEL URBANO"
2771,"MARECHAL THAUMATURGO"
3046,"MÂNCIO LIMA"
3652,"PLÁCIDO DE CASTRO"
3700,"PORTO ACRE"
3734,"PORTO WALTER"
3948,"RIO BRANCO"
4014,"RODRIGUES ALVES"
4205,"SANTA ROSA DO PURUS"
4338,"SENA MADUREIRA"
4346,"SENADOR GUIOMARD"
4861,"TARAUACÁ"
5220,XAPURI
